dt,erro_l2
4.000000000000000222e-01,2.703817628358719835e-04
2.000000000000000111e-01,7.212553687151175661e-05
1.000000000000000056e-01,2.169503399017929789e-05
5.000000000000000278e-02,6.686780634164645341e-06
2.500000000000000139e-02,2.799543348269108464e-06
