nivel,beta_menor_iter,iteracoes,diff_rel_vs_direto
0.000000000000000000e+00,3.384375004729266578e+01,5.000000000000000000e+00,4.396246694499957009e-08
1.000000000000000000e+00,3.384375004729266578e+01,7.000000000000000000e+00,4.215977207182234337e-07
2.000000000000000000e+00,4.624573638608666926e+01,1.100000000000000000e+01,6.356929887111277644e-07
3.000000000000000000e+00,1.379265808814591878e+02,1.800000000000000000e+01,6.144312229732044815e-06
4.000000000000000000e+00,3.010447246668065304e+02,3.300000000000000000e+01,9.548852711467814019e-06
