nivel,V,media_t0,media_tfinal
0,12,12.566371,12.566371
1,42,12.566371,12.566371
2,162,12.566371,12.566371
3,642,12.566371,12.566371
4,2562,12.566371,12.566371
5,10242,12.566371,12.566371
6,40962,12.566371,12.566371
