nivel,V,erro_l2
2.000000000000000000e+00,1.620000000000000000e+02,1.547024825265646544e-03
3.000000000000000000e+00,6.420000000000000000e+02,3.845326830797572920e-04
4.000000000000000000e+00,2.562000000000000000e+03,9.654999613883094090e-05
5.000000000000000000e+00,1.024200000000000000e+04,2.474893261857298631e-05
6.000000000000000000e+00,4.096200000000000000e+04,6.812388636606119048e-06
