nivel,beta_otimo,iteracoes,erro_l2,erro_inf
0.000000000000000000e+00,7.487179487179487225e-01,1.100000000000000000e+01,1.356167696715190329e-01,2.348548752687827923e-01
1.000000000000000000e+00,5.476923076923077005e-01,2.400000000000000000e+01,3.891777685124414576e-02,7.872767500316624201e-02
2.000000000000000000e+00,5.225641025641025728e-01,4.100000000000000000e+01,9.253970472467232256e-03,1.759318210590532505e-02
3.000000000000000000e+00,5.225641025641025728e-01,8.800000000000000000e+01,2.281701608510538961e-03,4.775884687806652984e-03
4.000000000000000000e+00,5.225641025641025728e-01,1.420000000000000000e+02,5.718822946180689929e-04,1.199262993363259255e-03
